timestamp_local,timestamp_utc,aqi,pm25,pm10,o3,no2,so2,co
2026-04-27T19:00:00,2026-04-27T12:00:00,101,35,46,29,16,35,1224
2026-04-27T20:00:00,2026-04-27T13:00:00,98,34,44,31,16,36,1096
2026-04-27T21:00:00,2026-04-27T14:00:00,94,32,42,33,17,36,968
2026-04-27T22:00:00,2026-04-27T15:00:00,89,30,39,35,17,37,840
2026-04-27T23:00:00,2026-04-27T16:00:00,88,29,37,38,17,36,712
2026-04-28T00:00:00,2026-04-27T17:00:00,86,29,35,42,16,36,583
2026-04-28T01:00:00,2026-04-27T18:00:00,83,27,33,46,16,35,455
2026-04-28T02:00:00,2026-04-27T19:00:00,90,30,35,48,16,37,329
2026-04-28T03:00:00,2026-04-27T20:00:00,98,34,37,49,17,39,204
2026-04-28T04:00:00,2026-04-27T21:00:00,107,38,40,51,18,41,79
2026-04-28T05:00:00,2026-04-27T22:00:00,115,41,43,55,18,44,81
2026-04-28T06:00:00,2026-04-27T23:00:00,123,44,46,60,17,47,82
2026-04-28T07:00:00,2026-04-28T00:00:00,131,47,49,64,17,50,84
2026-04-28T08:00:00,2026-04-28T01:00:00,137,49,52,84,15,53,93
2026-04-28T09:00:00,2026-04-28T02:00:00,144,52,54,104,12,56,103
2026-04-28T10:00:00,2026-04-28T03:00:00,150,54,57,124,10,59,112
2026-04-28T11:00:00,2026-04-28T04:00:00,155,58,62,147,9,55,118
2026-04-28T12:00:00,2026-04-28T05:00:00,159,62,66,169,7,51,124
2026-04-28T13:00:00,2026-04-28T06:00:00,164,66,71,192,6,47,130
2026-04-28T14:00:00,2026-04-28T07:00:00,165,67,71,194,7,50,134
2026-04-28T15:00:00,2026-04-28T08:00:00,166,67,72,197,8,54,137
2026-04-28T16:00:00,2026-04-28T09:00:00,167,68,72,199,9,57,141
2026-04-28T17:00:00,2026-04-28T10:00:00,173,72,75,170,13,58,155
2026-04-28T18:00:00,2026-04-28T11:00:00,178,77,79,142,17,60,169
2026-04-28T19:00:00,2026-04-28T12:00:00,184,81,82,113,21,61,183
2026-04-28T20:00:00,2026-04-28T13:00:00,164,69,71,105,20,59,170
2026-04-28T21:00:00,2026-04-28T14:00:00,143,56,61,97,18,56,158
2026-04-28T22:00:00,2026-04-28T15:00:00,123,44,50,89,17,54,146
2026-04-28T23:00:00,2026-04-28T16:00:00,121,43,49,86,17,48,144
2026-04-29T00:00:00,2026-04-28T17:00:00,120,43,47,83,17,41,142
2026-04-29T01:00:00,2026-04-28T18:00:00,118,42,46,80,17,35,139
2026-04-29T02:00:00,2026-04-28T19:00:00,105,37,41,91,13,36,133
2026-04-29T03:00:00,2026-04-28T20:00:00,93,31,35,101,10,38,126
2026-04-29T04:00:00,2026-04-28T21:00:00,80,26,30,112,6,39,119
2026-04-29T05:00:00,2026-04-28T22:00:00,73,23,25,97,7,42,113
2026-04-29T06:00:00,2026-04-28T23:00:00,66,19,21,81,8,44,106
